,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Luanda,AO,1622603728,-8.8368,13.2343,77.0,88,75,3.44
1,Geraldton,AU,1622603884,-28.7667,114.6,64.81,59,0,6.71
2,Lensk,RU,1622603885,60.7253,114.9278,78.4,33,99,3.71
3,Kisangani,CD,1622603885,0.5167,25.2,69.84,94,91,2.19
4,Najrān,SA,1622603886,17.4924,44.1277,72.25,19,23,3.62
5,Upernavik,GL,1622603887,72.7868,-56.1549,26.55,92,25,7.14
6,George Town,MY,1622603887,5.4112,100.3354,89.55,72,20,4.0
7,Port Alfred,ZA,1622603889,-33.5906,26.891,58.28,87,48,13.65
8,Rikitea,PF,1622603890,-23.1203,-134.9692,71.35,59,10,20.62
9,Hobart,AU,1622603703,-42.8794,147.3294,60.26,50,0,3.0
10,Ushuaia,AR,1622603891,-54.8,-68.3,29.86,93,90,12.66
11,Arraial do Cabo,BR,1622603891,-22.9661,-42.0278,71.82,81,15,7.34
12,Sirte,LY,1622603893,31.2089,16.5887,71.38,75,100,15.95
13,Yerbogachën,RU,1622603893,61.2767,108.0108,74.1,29,42,7.83
14,Mandera,KE,1622603894,3.9366,41.867,74.14,69,70,10.11
15,Atuona,PF,1622603895,-9.8,-139.0333,79.68,77,20,13.76
16,Meridian,US,1622603841,43.6121,-116.3915,86.32,29,1,3.22
17,Forsytheganj,BY,1622603895,52.6333,29.7333,44.46,83,48,8.34
18,Tuktoyaktuk,CA,1622603896,69.4541,-133.0374,30.2,86,90,14.97
19,Bredasdorp,ZA,1622603897,-34.5322,20.0403,45.72,93,49,3.83
20,Thompson,CA,1622603897,55.7435,-97.8558,60.96,51,75,4.61
21,Mataura,NZ,1622603898,-46.1927,168.8643,49.48,93,87,2.82
22,Faanui,PF,1622603898,-16.4833,-151.75,79.3,73,100,14.54
23,Itoman,JP,1622603899,26.1247,127.6694,84.58,74,75,13.8
24,Busselton,AU,1622603899,-33.65,115.3333,64.04,65,95,3.36
25,Nanortalik,GL,1622603901,60.1432,-45.2371,37.04,87,70,7.52
26,Kapaa,US,1622603902,22.0752,-159.319,85.98,71,1,1.01
27,Roebourne,AU,1622603902,-20.7833,117.1333,74.52,29,96,20.87
28,Punta Arenas,CL,1622603903,-53.15,-70.9167,21.31,86,75,1.68
29,Mahébourg,MU,1622603903,-20.4081,57.7,75.25,83,40,10.36
30,Thinadhoo,MV,1622603717,0.5333,72.9333,83.57,71,100,13.87
31,Butaritari,KI,1622603904,3.0707,172.7902,83.01,80,100,15.35
32,Yellowknife,CA,1622603652,62.456,-114.3525,57.33,82,51,4.99
33,Albany,US,1622603906,42.6001,-73.9662,59.45,79,97,2.73
34,Norman Wells,CA,1622603906,65.282,-126.8329,51.84,71,75,9.22
35,Mayo,US,1622603907,38.8876,-76.5119,68.25,83,1,1.01
